Website,School,City and State,Type,Conference
https://ncwc.edu/,North Carolina Wesleyan College,"Rocky Mount, North Carolina",Private,USA South Athletic Conference
https://www.northcentralcollege.edu/,North Central College,"Naperville, Illinois",Private,College Conference of Illinois and Wisconsin
https://www.northpark.edu/,North Park University,"Chicago, Illinois",Private,College Conference of Illinois and Wisconsin
https://www.norwich.edu/,Norwich University,"Northfield, Vermont",Private,Great Northeast Athletic Conference
https://www.oberlin.edu/,Oberlin College,"Oberlin, Ohio",Private,North Coast Athletic Conference
https://www.onu.edu/,Ohio Northern University,"Ada, Ohio",Private,Ohio Athletic Conference
https://www.owu.edu/,Ohio Wesleyan University,"Delaware, Ohio",Private,North Coast Athletic Conference
https://www.olivetcollege.edu/,Olivet College,"Olivet, Michigan",Private,Michigan Intercollegiate Athletic Association
https://www.otterbein.edu/,Otterbein University,"Westerville, Ohio",Private,Ohio Athletic Conference
https://www.plu.edu/,Pacific Lutheran University,"Tacoma, Washington",Private,Northwest Conference
https://www.pacificu.edu/,Pacific University,"Forest Grove, Oregon",Private,Northwest Conference
https://www.plymouth.edu/,Plymouth State University,"Plymouth, New Hampshire",Public,Massachusetts State Collegiate Athletic Conference
https://www.pomona.edu/,Pomona-Pitzer Colleges,"Claremont, California",Private,Southern California Intercollegiate Athletic Conference
https://www.rmc.edu/,Randolph-Macon College,"Ashland, Virginia",Private,Old Dominion Athletic Conference
https://www.rpi.edu/,Rensselaer Polytechnic Institute – RPI,"Troy, New York",Private,Liberty League
https://www.rhodes.edu/,Rhodes College,"Memphis, Tennessee",Private,Southern Athletic Association
https://ripon.edu/,Ripon College,"Ripon, Wisconsin",Private,Midwest Conference
https://www.rockford.edu/,Rockford University,"Rockford, Illinois",Private,Northern Athletics Collegiate Conference
https://www.rose-hulman.edu/,Rose-Hulman Institute of Technology,"Terre Haute, Indiana",Private,Heartland Collegiate Athletic Conference
https://www.rowan.edu/,Rowan University,"Glassboro, New Jersey",Public,New Jersey Athletic Conference
https://www.csbsju.edu/admission,Saint John's University – Minnesota,"Collegeville, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.stvincent.edu/,Saint Vincent College – Pennsylvania,"Latrobe, Pennsylvania",Private,Presidents' Athletic Conference
https://www.salisbury.edu/,Salisbury University,"Salisbury, Maryland",Public,Coast-to-Coast Athletic
https://www.salve.edu/,Salve Regina University,"Newport, Rhode Island",Private,Commonwealth Coast Football
https://new.sewanee.edu/,Sewanee – The University of the South,"Sewanee, Tennessee",Private,Southern Athletic Association
https://www.su.edu/,Shenandoah University,"Winchester, Virginia",Private,Old Dominion Athletic Conference
https://simpson.edu/,Simpson College,"Indianola, Iowa",Private,American Rivers
https://svu.edu/,Southern Virginia University,"Buena Vista, Virginia",Private,USA South Athletic Conference
https://www.southwestern.edu/,Southwestern University,"Georgetown, Texas",Private,Southern Collegiate Athletic Conference
https://springfield.edu/,Springfield College,"Springfield, Massachusetts",Private,New England Women's & Men's Athletic Conference
https://www.sjf.edu/,St. John Fisher College,"Rochester, New York",Private,Empire 8 Athletic Conference
https://www.stlawu.edu/,St. Lawrence University,"Canton, New York",Private,Liberty League
https://www.snc.edu/,St. Norbert College,"De Pere, Wisconsin",Private,Northern Athletics Collegiate Conference
https://wp.stolaf.edu/,St. Olaf College,"Northfield, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.stevenson.edu/,Stevenson University,"Stevenson, Maryland",Private,Middle Atlantic Conferences
https://www.sulross.edu/,Sul Ross State University,"Alpine, Texas",Public,American Southwest Conference
https://suny.buffalostate.edu/,SUNY Buffalo State College,"Buffalo, New York",Public,State University of New York Athletic Conference
https://www2.brockport.edu/,SUNY College at Brockport,"Brockport, New York",Public,State University of New York Athletic Conference
https://www2.cortland.edu/home/,SUNY Cortland,"Cortland, New York",Public,State University of New York Athletic Conference
